Perment_mode0,Perment_mode1,Perment_mode2,Perment_mode3,Perment_mode4,BIS
1.3769052652195573,1.785659403831188,2.244602317228314,2.565913371672745,2.573194390986335,96.7
1.378166766207796,1.7880332348255963,2.2434048711531243,2.5659661335690647,2.5735120772721,96.7
1.3782200292868603,1.7899863357156278,2.2436871077881206,2.5657739219340066,2.5735376612133862,96.7
1.3843141570639519,1.7909179985871866,2.2434682135192574,2.5655766561541613,2.5735085449396635,96.7
1.3897599187732605,1.7909066699491918,2.2432515043804035,2.565582560066923,2.5735539670730816,96.7
1.39190300360015,1.7922036610032448,2.2437639681059345,2.565799571815353,2.5731926668084246,96.6
1.3937844236982224,1.796034454795544,2.244291466417085,2.565711145640151,2.573057766898843,96.0
1.3903045879551652,1.7979795917787844,2.244681855283168,2.5656753489077797,2.572926994132958,95.8
1.3882837870213007,1.7983445311514412,2.2446479260170706,2.5655150722791866,2.57284686963229,95.6
1.3898374522747576,1.7998823945852593,2.24490321795199,2.565485467943269,2.5730635943496276,94.8
1.3881926381358676,1.7946717663894867,2.244066941822628,2.5652328791266386,2.5729321907242118,94.2
1.3993827894192845,1.797009210063553,2.244674739552853,2.56531121147733,2.572752358336884,94.1
1.4015921229139368,1.7974359835577545,2.2454586069098292,2.56522883330624,2.572379334618189,94.1
1.3984598574821674,1.7959017919495697,2.2469001195992533,2.565200044341833,2.5724862815304474,94.1
1.3979236101140273,1.796436397622796,2.2466367118537116,2.565351423806605,2.5727030656883594,94.1
1.4017538185991607,1.7975013078703022,2.2462373667782254,2.565371088212443,2.572757137753304,94.1
1.4030670207316898,1.7984813566650204,2.246229340018887,2.5653716453513833,2.572897389831871,94.1
1.4065451994018625,1.798445798723507,2.2465273270517208,2.565279441288211,2.5725790539358835,94.1
1.4059730317772505,1.7979231403976632,2.2468867204428435,2.564933556721037,2.5724054626333377,94.1
1.4013713262594076,1.7968340972187784,2.2474221404696335,2.565175011666414,2.5726383336759753,93.9
1.4007291361852356,1.7972450403589835,2.248247046039289,2.5650986484004332,2.57234613346358,93.9
1.4021181731968242,1.7972995547230308,2.2477114428221654,2.5650209536661244,2.572427856282989,93.9
1.4135836054872741,1.7988218137783054,2.2483327487527807,2.5652835419490443,2.572463757076963,93.9
